,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Stanislav,UA,66.87,overcast clouds,46.5691,32.1478,Hostynnyy Dvir
8,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Shingu,JP,59.7,overcast clouds,33.7333,135.9833,Shingu UI Hotel
28,Byron Bay,AU,67.71,light rain,-28.65,153.6167,Backpackers Inn
40,Yangjiang,CN,73.47,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
43,Pingshan,CN,69.17,overcast clouds,22.9938,114.7131,Island Skylight Resort
50,Esperance,AU,62.56,clear sky,-33.8667,121.9,Hospitality Esperance
51,Vinh,VN,74.97,overcast clouds,18.6667,105.6667,Vuong Hoan 2
54,Muravlenko,RU,61.84,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
56,Hilo,US,73.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
58,Geraldton,AU,63.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
60,Pisco,PE,57.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
61,La Palma,US,62.78,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
65,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Ixtapa,MX,72.27,overcast clouds,20.7,-105.2,hotel la terminal
68,Roswell,US,59.56,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
69,Kenitra,MA,74.16,clear sky,34.261,-6.5802,Bienvenue chez vous
71,Busselton,AU,63.39,moderate rain,-33.65,115.3333,Observatory Guest House
74,Salym,RU,58.37,light rain,60.0625,71.4789,Gostinitsa Salym
76,Kapaa,US,70.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Asau,RO,72.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
84,Sharkan,RU,56.8,light rain,57.2989,53.8712,Rodnichok
96,Alice Springs,AU,69.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
105,Carnarvon,AU,72.52,clear sky,-24.8667,113.6333,Hospitality Carnarvon
107,Chifeng,CN,60.87,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
110,Barrhead,GB,62.85,overcast clouds,55.7992,-4.3929,The Gleniffer
121,Canon City,US,63.01,clear sky,38.441,-105.2424,Travel Inn Motel
132,Swan Hill,AU,55.42,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
139,Tocopilla,CL,63.21,scattered clouds,-22.092,-70.1979,Hotel Galvarino
140,Tottori,JP,64.47,few clouds,35.5,134.2333,Hotel Monarque Tottori
143,Coahuayana,MX,71.78,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
151,Westport,US,58.75,clear sky,41.1415,-73.3579,The Westport Inn
159,Tamiahua,MX,73.67,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
160,Hasaki,JP,59.4,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
161,San Quintin,MX,59.2,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
162,Port Lincoln,AU,57.36,few clouds,-34.7333,135.8667,Port Lincoln Hotel
168,Zakamensk,RU,57.74,overcast clouds,50.3741,103.2863,Gostinitsa Zakamna
170,Escarcega,MX,71.28,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
174,Anahuac,MX,71.31,few clouds,27.2333,-100.15,HOTEL SAN FELIPE
178,San Blas,MX,71.38,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
181,Guerrero Negro,MX,59.63,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
182,Shillong,IN,67.71,broken clouds,25.5689,91.8831,Cafe Shillong Bed and Breakfast
185,Chitose,JP,57.11,broken clouds,42.8194,141.6522,"ANA Crowne Plaza Chitose, an IHG Hotel"
187,Spearfish,US,61.3,few clouds,44.4908,-103.8594,Travelodge by Wyndham Spearfish
189,Nakambala,ZM,73.18,scattered clouds,-15.8324,27.7799,Staff Area
190,Tongliao,CN,70.57,overcast clouds,43.6125,122.2653,Meirujia Hotel
192,Pontes E Lacerda,BR,60.87,broken clouds,-15.2261,-59.3353,Hotel Bressan
198,Saint George,US,70.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
199,Oban,GB,60.39,light intensity drizzle,56.4127,-5.4706,Muthu Oban Hotel (Formerly Regent Hotel)
202,Murwillumbah,AU,69.98,overcast clouds,-28.3167,153.4,Murwillumbah Motor Inn
205,Karratha,AU,72.97,light rain,-20.7377,116.8463,ibis Styles Karratha
207,Joshimath,IN,68.92,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
210,Aleksandriya,RU,64.31,overcast clouds,45.0947,43.2456,"Kurortnyy Kompleks ""Tri Truby"""
212,Wahiawa,US,71.87,broken clouds,21.5028,-158.0236,The Inn At Schofield
214,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
218,Kahului,US,73.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
221,Seoul,KR,73.0,clear sky,37.5683,126.9778,롯데호텔 서울
223,Inirida,CO,72.54,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
225,Vieste,IT,72.07,broken clouds,41.8825,16.175,Hotel Falcone
232,Hualmay,PE,62.17,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
235,Mananjary,MG,72.45,light rain,-21.2167,48.3333,Vahiny Lodge
237,Erzin,TR,74.84,clear sky,36.9559,36.2,Artemis Otel
239,Sao Joao Da Barra,BR,69.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
240,Shimoda,JP,58.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
241,Mhlambanyatsi,SZ,63.59,clear sky,-26.45,31.0167,Foresters Arms
242,Vila Franca Do Campo,PT,63.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
251,Arraial Do Cabo,BR,67.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
252,Wuan,CN,71.19,overcast clouds,31.6836,112.0044,武镇大酒店
254,Bethel,US,56.48,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
255,Makakilo City,US,73.69,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
259,Niteroi,BR,71.65,scattered clouds,-22.8833,-43.1036,Hotel Viareggio
260,Vikulovo,RU,58.64,light rain,56.8167,70.6107,"Ooo ""Sistema Stroy"""
261,Port Augusta,AU,57.34,clear sky,-32.5,137.7667,Majestic Oasis Apartments
263,Huilong,CN,67.87,few clouds,31.8111,121.655,Hilton Garden Inn Qidong
265,Nantucket,US,59.05,broken clouds,41.2835,-70.0995,Jared Coffin House
267,Ninghai,CN,61.02,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
269,Khani,GE,63.97,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
274,Russell,US,62.11,broken clouds,32.3502,-85.1999,Macs
277,Shangrao,CN,66.63,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
278,Santander,ES,74.52,clear sky,43.4647,-3.8044,Abba Santander Hotel
281,Mazatlan,MX,74.91,overcast clouds,23.2167,-106.4167,Hotel La Siesta
285,Grand Falls,CA,55.45,overcast clouds,47.0461,-67.7418,Hill Top Motel & Restaurant
294,Hamilton,US,59.2,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
308,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
315,Strezhevoy,RU,62.55,light rain,60.7333,77.5889,Sibiryachka
319,Palmer,US,56.39,clear sky,42.1584,-72.3287,Wedgewood Motel
323,Petropavlovka,RU,68.14,broken clouds,50.6114,105.3196,Tuyaa
324,Haibara,JP,63.18,overcast clouds,34.5333,135.95,農事組合法人ざ・さとやま組合本部「離宮かやのもり」
325,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
328,Laguna,US,59.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
330,Crowley,US,74.1,clear sky,30.2141,-92.3746,"Motel 6 Crowley, LA"
332,Altay,CN,70.0,scattered clouds,47.8667,88.1167,Jinqiao Hotel
334,Macas,EC,66.42,light rain,-2.3167,-78.1167,Casa Upano
336,Lawrence,US,61.77,broken clouds,38.9717,-95.2353,SpringHill Suites by Marriott Lawrence Downtown
341,Kapiri Mposhi,ZM,74.35,clear sky,-13.9652,28.6809,MA 22 LODGE
344,Santa Catarina De Tepehuanes,MX,61.9,overcast clouds,25.35,-105.7333,hotel plaza
346,Ducheng,CN,73.94,scattered clouds,23.2373,111.5317,Xinyongguang Hotel
366,Muros,ES,65.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
370,Laurens,US,66.63,clear sky,32.4502,-82.9165,"Holiday Inn Express & Suites Dublin, an IHG Hotel"
373,Waipawa,NZ,59.27,broken clouds,-41.4122,175.5153,Tora Coastal Walk
374,Zhicheng,CN,70.52,overcast clouds,30.2956,111.5047,Wangjiang Building
375,Ahipara,NZ,66.45,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
388,Chicama,PE,63.41,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
394,Burgos,ES,73.81,scattered clouds,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
395,Den Helder,NL,70.02,overcast clouds,52.9599,4.7593,Hotel Den Helder
396,Cabo San Lucas,MX,71.51,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
399,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
403,Mianyang,CN,64.27,overcast clouds,31.4593,104.7542,如家快捷酒店
406,Kyren,RU,65.8,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
408,Aksay,RU,66.42,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
410,Winnemucca,US,55.62,few clouds,40.973,-117.7357,Winners Inn Casino
413,La Rioja,ES,69.58,clear sky,42.25,-2.5,Casa Concejos
415,Kashary,RU,61.34,broken clouds,49.04,41.0056,Гостиница N 1
419,Borzya,RU,66.2,broken clouds,50.3833,116.5167,Tikhiy
420,Progreso,MX,72.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
425,Xichang,CN,60.03,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
429,Bollnas,SE,56.77,clear sky,61.3482,16.3946,Grand Hotel
431,Filadelfia,US,59.11,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
433,Shaowu,CN,65.52,overcast clouds,27.3409,117.4831,Yijie Express Hotel
441,Otradnyy,RU,58.89,light rain,53.376,51.3452,Sanatorium Neftyanik
449,Kaeo,NZ,67.32,overcast clouds,-35.1,173.7833,Bushido Lodge
455,Saldanha,ZA,74.23,clear sky,-33.0117,17.9442,Blue Bay Lodge
459,Pimentel,PE,63.5,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
460,Uruacu,BR,71.24,scattered clouds,-14.5247,-49.1408,Cassius Hotel
463,Ghanzi,BW,72.75,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
464,Yulara,AU,69.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
471,Cosina,PH,74.26,overcast clouds,8.1061,124.6197,Audrey’s Rubber Farm
472,Erenhot,CN,68.76,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
474,Alta Floresta,BR,68.43,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
475,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
484,Bulgan,MN,66.76,overcast clouds,48.8125,103.5347,Unitel Булган салбар
485,Katsuura,JP,59.7,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
495,Visnes,NO,64.45,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
502,Ferrol,ES,66.72,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
504,Plouzane,FR,73.72,clear sky,48.3833,-4.6167,Lymina
506,Tavda,RU,64.15,overcast clouds,58.0425,65.2726,The hotel is number 1
510,Takaka,NZ,57.56,scattered clouds,-40.85,172.8,Golden Bay Motels
513,Diamantino,BR,62.19,overcast clouds,-14.4086,-56.4461,Hotel Delta
517,Kiunga,PG,74.25,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
518,Oyama,JP,66.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
526,Xining,CN,62.94,overcast clouds,36.6167,101.7667,Super Leisure Hotel
527,Nakama,JP,69.15,clear sky,33.8167,130.7,HOTEL 青い鳥
529,Chulumani,BO,57.49,overcast clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
530,Mackay,AU,69.67,few clouds,-21.15,149.2,International Lodge Motel
534,Abatskoye,RU,63.25,light rain,56.2875,70.4555,Gostinitsa Abatskaya
536,Mount Kisco,US,58.82,clear sky,41.2043,-73.7271,Crabtree's Kittle House Restaurant & Inn
538,Arinos,BR,70.86,scattered clouds,-15.9169,-46.1056,casa do bruno
539,Severo-Yeniseyskiy,RU,62.56,broken clouds,60.3725,93.0408,Aktolik
541,Naze,JP,65.08,overcast clouds,28.3667,129.4833,Shishime Hotel
542,Tomatlan,MX,69.84,overcast clouds,19.9333,-105.25,El Salvial
553,Longyan,CN,67.1,broken clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
554,Santa Isabel Do Rio Negro,BR,73.87,overcast clouds,-0.4139,-65.0192,Hotel GSA
556,Kansk,RU,74.64,overcast clouds,56.2017,95.7175,Хостел в Канске
560,Havelock,US,67.98,few clouds,34.8791,-76.9013,Sherwood Motel
569,Solano,US,55.9,clear sky,38.2333,-121.9511,Westwind Inn
572,Romny,UA,56.34,light rain,50.751,33.4747,Floriana
578,Itoman,JP,69.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
580,Peru,US,55.8,few clouds,40.7537,-86.0689,Cole Porter Inn
583,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
584,Cary,US,57.2,few clouds,35.7915,-78.7811,Wingate by Wyndham State Arena Raleigh/Cary
587,Mandalgovi,MN,69.26,overcast clouds,45.7625,106.2708,В.Ганбат
589,Primero De Enero,CU,73.56,overcast clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
599,Illapel,CL,57.81,clear sky,-31.6308,-71.1653,Hotel Londres
603,Tifton,US,67.96,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
608,Chinhoyi,ZW,74.52,broken clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
609,Fort-Shevchenko,KZ,64.04,scattered clouds,44.5086,50.263,Oasis hotel Bautino
612,Leh,IN,56.34,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
617,Mari-Turek,RU,56.73,broken clouds,56.7895,49.6235,Berloga Khismata
621,Teahupoo,PF,69.76,light rain,-17.8333,-149.2667,Vanira Lodge
625,Aksaray,TR,69.01,light rain,38.3726,34.0254,Kuzucular Park Hotel
626,Hadishahr,AZ,72.09,scattered clouds,38.8431,45.6635,هتل آپارتمان آرامیس
627,Yatou,CN,59.67,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
630,Nelson Bay,AU,60.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
631,Bejucal,CU,71.58,clear sky,22.9286,-82.3886,Motel la estrella
635,Roald,NO,65.32,clear sky,62.5833,6.1333,Flem Cabins
640,Eregli,TR,69.67,scattered clouds,37.5133,34.0467,Hotel Fuat Bey
643,Beyneu,KZ,69.98,broken clouds,45.3167,55.2,NUR
645,Prainha,BR,74.7,heavy intensity rain,-1.8,-53.48,Casa Rocha
646,Kwinana,AU,69.82,broken clouds,-32.25,115.7667,Rockingham Apartments
647,Linxia,CN,64.78,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
648,Macomb,US,57.02,clear sky,40.4592,-90.6718,Hampton Inn Macomb
649,Agadir,MA,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
650,Puerto Quijarro,BO,59.72,broken clouds,-17.7833,-57.7667,Hotel palance
651,Minyar,RU,57.97,light rain,55.0709,57.5485,Semigor'ye
653,Miraflores,MX,61.03,clear sky,19.2167,-98.8083,Hotel Mansión
654,Xanlar,AZ,63.91,broken clouds,40.5869,46.3158,Goy Gol Lake Resort
655,Gomel,BY,57.18,clear sky,52.4345,30.9754,Turyst
657,Prieska,ZA,73.2,clear sky,-29.6641,22.7474,Avenue GuestHouse
668,Vao,NC,74.3,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
669,Shasta Lake,US,59.72,clear sky,40.6804,-122.3708,Shasta Dam Motel
670,Northam,GB,68.67,overcast clouds,51.0333,-4.2167,Durrant House Hotel
672,Bud,US,58.98,clear sky,39.447,-86.1758,Ted McQuinn Trust
674,Quelimane,MZ,73.27,light rain,-17.8786,36.8883,Hotel Flamingo
675,San Isidro,PE,60.39,broken clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
678,Wonthaggi,AU,55.81,broken clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
681,Kingman,US,71.89,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
682,Nosy Varika,MG,72.48,light rain,-20.5833,48.5333,Hotel Volazara
683,Bitlis,TR,60.4,scattered clouds,38.5,42.25,Karaman
684,Dongsheng,CN,70.02,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
688,Newton,US,59.99,clear sky,42.337,-71.2092,Sheraton Boston Needham Hotel
690,Jacareacanga,BR,72.79,moderate rain,-6.2222,-57.7528,Casa do Ian😎
