,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Ketchikan,US,55.3422,-131.6461,43.27,87,100,10.36,light rain,2022-05-17 10:50:43
1,Mataura,NZ,-46.1927,168.8643,48.47,95,25,2.77,scattered clouds,2022-05-17 10:50:43
2,Stanislav,UA,46.5691,32.1478,66.87,53,87,9.8,overcast clouds,2022-05-17 10:50:43
3,Qaanaaq,GL,77.484,-69.3632,19.65,72,24,7.43,few clouds,2022-05-17 10:50:44
4,Kavaratti,IN,10.5669,72.642,78.96,85,100,21.21,overcast clouds,2022-05-17 10:50:44
5,Aklavik,CA,68.2191,-135.0107,28.31,91,100,11.14,overcast clouds,2022-05-17 10:50:45
6,Lebu,CL,-37.6167,-73.65,50.04,58,7,3.11,clear sky,2022-05-17 10:50:45
7,Estelle,US,29.8458,-90.1067,78.01,85,0,1.01,clear sky,2022-05-17 10:50:45
8,Vaini,TO,-21.2,-175.2,73.56,73,20,8.05,few clouds,2022-05-17 10:50:46
9,Sivaki,RU,52.6333,126.75,48.02,36,54,3.96,broken clouds,2022-05-17 10:50:46
10,Chingirlau,KZ,51.095,54.0814,63.12,38,53,20.87,broken clouds,2022-05-17 10:50:46
11,Cape Town,ZA,-33.9258,18.4232,83.12,35,0,4.61,clear sky,2022-05-17 10:50:03
12,Klaksvik,FO,62.2266,-6.589,50.92,96,100,25.05,light rain,2022-05-17 10:50:47
13,Mar Del Plata,AR,-38.0023,-57.5575,54.95,79,100,23.02,overcast clouds,2022-05-17 10:49:10
14,Kalengwa,ZM,-13.4659,25.0027,73.87,43,98,5.79,overcast clouds,2022-05-17 10:50:47
15,Lida,BY,53.8833,25.2997,51.04,49,38,17.11,scattered clouds,2022-05-17 10:50:48
16,Bredasdorp,ZA,-34.5322,20.0403,78.94,24,41,4.05,scattered clouds,2022-05-17 10:50:48
17,Dikson,RU,73.5069,80.5464,33.98,100,100,5.23,overcast clouds,2022-05-17 10:50:48
18,Buin,CL,-33.7333,-70.75,51.06,37,0,1.25,clear sky,2022-05-17 10:50:49
19,Severo-Kurilsk,RU,50.6789,156.125,41.59,81,19,6.73,few clouds,2022-05-17 10:50:49
20,Bambous Virieux,MU,-20.3428,57.7575,79.21,69,75,12.66,light rain,2022-05-17 10:50:49
21,Ushuaia,AR,-54.8,-68.3,38.86,93,75,4.61,broken clouds,2022-05-17 10:47:16
22,Oranjemund,NA,-28.55,16.4333,86.77,24,0,12.28,clear sky,2022-05-17 10:50:50
23,Wabana,CA,47.6332,-52.9481,41.09,84,100,4.61,overcast clouds,2022-05-17 10:50:50
24,Shingu,JP,33.7333,135.9833,59.7,88,100,3.04,overcast clouds,2022-05-17 10:50:51
25,Barrow,US,71.2906,-156.7887,15.82,79,100,5.75,light snow,2022-05-17 10:50:51
26,Touros,BR,-5.1989,-35.4608,82.06,84,67,12.62,broken clouds,2022-05-17 10:50:51
