City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2022-05-14 14:47:05,60.9167,-46.05,35.82,76,98,5.7
1,Rikitea,PF,2022-05-14 14:47:05,-23.1203,-134.9692,76.24,68,0,22.15
2,Hasaki,JP,2022-05-14 14:47:06,35.7333,140.8333,66.6,77,100,24.96
3,Deep River,CA,2022-05-14 14:47:06,46.1001,-77.4995,76.95,48,86,3.53
4,Empalme,MX,2022-05-14 14:47:06,27.9667,-110.8167,77.05,23,40,0.0
5,Arraial Do Cabo,BR,2022-05-14 14:46:24,-22.9661,-42.0278,76.96,65,20,6.91
6,Jamestown,US,2022-05-14 14:45:11,42.097,-79.2353,74.01,67,40,11.5
7,Mataura,NZ,2022-05-14 14:47:07,-46.1927,168.8643,45.48,94,100,1.9
8,Ushuaia,AR,2022-05-14 14:47:07,-54.8,-68.3,40.62,93,40,3.44
9,Cape Town,ZA,2022-05-14 14:43:27,-33.9258,18.4232,67.12,58,20,13.8
10,Saint-Pierre,RE,2022-05-14 14:47:07,-21.3393,55.4781,74.88,69,20,12.66
11,Barra Do Garcas,BR,2022-05-14 14:47:08,-15.89,-52.2567,88.38,48,0,0.0
12,Severo-Yeniseyskiy,RU,2022-05-14 14:47:08,60.3725,93.0408,45.7,92,3,3.18
13,Nouakchott,MR,2022-05-14 14:45:18,18.0858,-15.9785,112.93,19,89,2.46
14,Port Alfred,ZA,2022-05-14 14:47:09,-33.5906,26.891,66.18,78,71,4.0
15,Busselton,AU,2022-05-14 14:45:27,-33.65,115.3333,58.6,70,84,11.1
16,Dingle,PH,2022-05-14 14:47:09,10.9995,122.6711,79.16,85,76,2.13
17,Yar-Sale,RU,2022-05-14 14:47:09,66.8333,70.8333,36.99,100,100,12.55
18,Provideniya,RU,2022-05-14 14:46:44,64.3833,-173.3,31.89,95,99,4.56
19,Novikovo,RU,2022-05-14 14:47:10,51.1537,37.8879,57.92,80,100,12.37
20,Punta Arenas,CL,2022-05-14 14:47:10,-53.15,-70.9167,44.71,81,20,9.22
21,Albany,US,2022-05-14 14:45:09,42.6001,-73.9662,75.94,72,72,3.22
22,Dalbandin,PK,2022-05-14 14:47:10,28.8947,64.4101,88.3,14,0,8.46
23,Bredasdorp,ZA,2022-05-14 14:47:11,-34.5322,20.0403,63.55,56,84,7.45
24,Keetmanshoop,NA,2022-05-14 14:47:11,-26.5833,18.1333,77.0,11,0,4.23
25,Cherskiy,RU,2022-05-14 14:46:43,68.75,161.3,34.54,99,100,7.76
26,Castro,BR,2022-05-14 14:44:00,-24.7911,-50.0119,68.05,58,100,4.92
27,Saint-Louis,SN,2022-05-14 14:47:11,16.3333,-15.0,110.98,7,36,13.47
28,Torbay,CA,2022-05-14 14:43:18,47.6666,-52.7314,39.27,95,100,12.66
29,Porto Novo,BJ,2022-05-14 14:47:12,6.4965,2.6036,87.62,62,81,10.58
30,Pevek,RU,2022-05-14 14:47:12,69.7008,170.3133,32.95,89,100,14.12
31,Lazaro Cardenas,MX,2022-05-14 14:47:13,17.9583,-102.2,84.02,64,81,1.39
32,Seoul,KR,2022-05-14 14:47:13,37.5683,126.9778,56.8,43,0,6.91
33,Kapaa,US,2022-05-14 14:47:13,22.0752,-159.319,73.72,92,100,12.66
34,Conde,BR,2022-05-14 14:47:14,-7.2597,-34.9075,81.86,83,40,11.5
35,Kavaratti,IN,2022-05-14 14:47:14,10.5669,72.642,80.71,81,100,25.52
36,Hermanus,ZA,2022-05-14 14:47:14,-34.4187,19.2345,65.8,69,11,3.62
37,Provost,CA,2022-05-14 14:45:13,52.3501,-110.2683,43.25,47,99,9.48
38,Lavrentiya,RU,2022-05-14 14:45:29,65.5833,-171.0,23.11,90,29,4.23
39,Bluff,NZ,2022-05-14 14:47:15,-46.6,168.3333,45.81,74,100,6.06
40,Saint George,US,2022-05-14 14:44:41,37.1041,-113.5841,57.79,14,0,0.0
41,Georgetown,MY,2022-05-14 14:47:15,5.4112,100.3354,85.95,78,20,6.91
42,Peachland,CA,2022-05-14 14:47:15,49.7665,-119.7357,49.68,68,100,2.62
43,Hobart,AU,2022-05-14 14:44:34,-42.8794,147.3294,62.46,70,71,10.36
44,Lagoa,PT,2022-05-14 14:47:16,39.05,-27.9833,60.3,85,100,26.8
45,Butaritari,KI,2022-05-14 14:47:16,3.0707,172.7902,80.42,76,100,7.4
46,Riverton,US,2022-05-14 14:48:16,40.5219,-111.9391,64.17,43,0,5.75
47,Pahrump,US,2022-05-14 14:48:17,36.2083,-115.9839,59.05,8,0,1.99
48,Airai,TL,2022-05-14 14:48:17,-8.9266,125.4092,61.99,97,79,0.85
49,Isangel,VU,2022-05-14 14:48:18,-19.55,169.2667,74.34,69,95,10.96
50,Vaini,TO,2022-05-14 14:46:50,-21.2,-175.2,71.76,78,75,9.22
51,Hilo,US,2022-05-14 14:48:03,19.7297,-155.09,70.25,93,100,5.75
52,Taloqan,AF,2022-05-14 14:48:18,36.7361,69.5345,69.1,48,100,5.41
53,Pisco,PE,2022-05-14 14:44:49,-13.7,-76.2167,63.01,88,100,4.61
54,Anantapur,IN,2022-05-14 14:45:54,14.6833,77.6,96.49,35,57,4.09
55,Puerto Ayora,EC,2022-05-14 14:48:18,-0.7393,-90.3518,73.36,98,26,4.0
56,Mezen,RU,2022-05-14 14:48:19,65.8522,44.24,57.11,67,81,7.81
57,Paamiut,GL,2022-05-14 14:48:19,61.994,-49.6678,27.97,62,100,11.45
58,Upernavik,GL,2022-05-14 14:48:20,72.7868,-56.1549,18.25,72,13,2.01
59,Umm Lajj,SA,2022-05-14 14:48:20,25.0213,37.2685,91.49,38,0,1.9
60,Northam,GB,2022-05-14 14:48:20,51.0333,-4.2167,60.62,75,43,7.61
61,Talnakh,RU,2022-05-14 14:48:21,69.4865,88.3972,35.49,99,100,6.26
62,Shihezi,CN,2022-05-14 14:48:21,44.3,86.0333,75.67,15,95,2.91
63,Dikson,RU,2022-05-14 14:48:21,73.5069,80.5464,32.38,95,100,10.94
64,Nikolskoye,RU,2022-05-14 14:48:22,59.7035,30.7861,59.88,46,39,8.52
65,Thompson,CA,2022-05-14 14:48:22,55.7435,-97.8558,35.76,100,100,14.97
66,Kaitangata,NZ,2022-05-14 14:45:17,-46.2817,169.8464,43.86,86,100,1.68
67,Iqaluit,CA,2022-05-14 14:48:22,63.7506,-68.5145,19.13,73,40,24.16
68,Nemuro,JP,2022-05-14 14:48:23,43.3236,145.575,46.76,70,100,18.5
69,Skibbereen,IE,2022-05-14 14:48:23,51.55,-9.2667,56.1,62,5,7.81
70,Gandajika,CD,2022-05-14 14:48:23,-6.75,23.95,87.49,38,17,3.18
71,Berlevag,NO,2022-05-14 14:48:24,70.8578,29.0864,42.6,65,34,10.36
72,Yellowknife,CA,2022-05-14 14:48:24,62.456,-114.3525,46.92,57,75,8.05
73,Hithadhoo,MV,2022-05-14 14:48:24,-0.6,73.0833,83.37,70,64,10.33
74,South Lake Tahoe,US,2022-05-14 14:45:01,38.9332,-119.9844,58.26,70,0,0.0
75,High Level,CA,2022-05-14 14:48:25,58.5169,-117.136,50.11,76,100,8.05
76,Coquimbo,CL,2022-05-14 14:48:25,-29.9533,-71.3436,53.33,93,100,2.3
77,Watertown,US,2022-05-14 14:46:58,42.3709,-71.1828,84.29,57,0,14.97
78,Port Elizabeth,ZA,2022-05-14 14:48:25,-33.918,25.5701,66.09,78,20,14.97
79,Shannon,IE,2022-05-14 14:48:26,52.7039,-8.8642,64.4,48,75,4.61
80,Bethel,US,2022-05-14 14:48:26,41.3712,-73.414,76.17,79,100,5.75
81,Esperance,AU,2022-05-14 14:48:26,-33.8667,121.9,58.48,78,23,19.15
82,Mar Del Plata,AR,2022-05-14 14:44:21,-38.0023,-57.5575,57.94,52,0,10.36
83,Tselinnoye,RU,2022-05-14 14:48:27,53.0833,85.6667,67.48,31,93,4.23
84,Toropets,RU,2022-05-14 14:48:28,56.4978,31.6353,53.82,59,100,6.53
85,Tasiilaq,GL,2022-05-14 14:48:29,65.6145,-37.6368,30.36,61,94,5.03
86,Port Lincoln,AU,2022-05-14 14:45:17,-34.7333,135.8667,60.57,82,6,12.21
87,Kongolo,CD,2022-05-14 14:48:29,-5.3833,27.0,85.89,58,53,3.31
88,East London,ZA,2022-05-14 14:48:29,-33.0153,27.9116,67.14,68,0,13.8
89,Husavik,IS,2022-05-14 14:48:30,66.0449,-17.3389,40.03,79,100,13.62
90,Loandjili,CG,2022-05-14 14:49:30,-4.7561,11.8578,81.05,79,34,10.11
